,price,location,baths,bedrooms,Total_Area
10529,190.0,G-15,4,4,2178.008
10530,190.0,G-15,4,4,2178.008
10531,190.0,G-15,4,4,2178.008
10532,190.0,G-15,4,4,2178.008
10533,190.0,G-15,4,4,2178.008
10534,188.0,G-15,4,4,2178.008
10535,188.0,G-15,4,4,2178.008
10536,186.0,G-15,4,4,2178.008
10537,186.0,G-15,4,4,2178.008
10538,184.0,G-15,4,4,2178.008
10539,184.0,G-15,4,4,2178.008
10540,182.0,G-15,4,4,2178.008
10541,182.0,G-15,4,4,2178.008
10542,255.0,F-15,5,5,2722.51
10543,252.0,F-15,5,5,2722.51
10544,250.0,F-15,5,5,2722.51
10545,250.0,F-15,5,5,2722.51
10546,248.0,F-15,5,5,2722.51
10547,248.0,F-15,5,5,2722.51
10548,246.0,F-15,5,5,2722.51
10549,246.0,F-15,5,5,2722.51
10550,165.0,G-13,4,3,1089.004
10551,244.0,F-15,5,5,2722.51
10552,244.0,F-15,5,5,2722.51
10553,400.0,G-15,7,7,5445.0
10554,75.0,DHA Defence,4,3,2178.008
10555,345.0,G-13,6,6,2722.51
10556,396.0,G-15,7,7,5445.0
10557,396.0,G-15,7,7,5445.0
10558,394.0,G-15,7,7,5445.0
10559,394.0,G-15,7,7,5445.0
10560,392.0,G-15,7,7,5445.0
10561,392.0,G-15,7,7,5445.0
10562,390.0,G-15,7,7,5445.0
10563,390.0,G-15,7,7,5445.0
10564,303.0,G-15,6,6,3811.514
10565,303.0,G-15,6,6,3811.514
10566,305.0,G-15,6,6,3811.514
10567,299.0,G-15,6,6,3811.514
10568,297.0,G-15,6,6,3811.514
10569,298.0,G-15,6,6,3811.514
10570,295.0,G-15,6,6,3811.514
10571,295.0,G-15,6,6,3811.514
10572,295.0,G-15,6,6,3811.514
10573,300.0,G-15,6,6,3811.514
10574,400.0,G-15,7,7,5445.0
10575,45.0,DHA Defence,4,3,2178.008
10576,190.0,G-15,6,6,2178.008
10584,475.0,E-11,7,6,4356.016
10585,185.0,G-15,5,5,2178.008
10586,265.0,G-13,6,5,2178.008
10587,275.0,G-13,6,5,2178.008
10588,260.0,G-13,6,5,2178.008
10589,150.0,G-13,5,4,1089.004
10590,135.0,Ghauri Town,6,6,1361.255
10594,260.0,G-13,6,5,2178.008
10595,360.0,G-13,6,6,29675.359
10596,185.0,G-15,5,5,2178.008
10597,185.0,G-15,5,5,2178.008
10599,280.0,G-15,6,6,3539.263
10608,260.0,G-15,6,6,3539.263
10609,925.0,Lehtarar Road,5,5,87120.0
10620,460.0,G-13,7,7,39204.144
10621,162.0,G-13,5,5,11979.043999999998
10622,270.0,G-15,6,6,3539.263
10623,165.0,G-13,5,5,11979.043999999998
10624,320.0,G-13,10,8,1905.757
10625,360.0,G-13,6,5,29675.359
10626,170.0,G-13,3,3,1089.004
10627,230.0,Kuri Model Town,4,4,38659.642
